Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
In4Se2.67Cl0.03,523,409.1,-164.8,0.661,0.879111828603933,Expt,10.1002/adma.201004739
CsSm2Ag3Te5,298,0.8382,-90.28,0.6625,0.000307298994184791,Expt,https://doi.org/10.1021/ic5007132
Rb2Bi8Se12.9415,428,80.3,-194.4,0.664,0.195606713407229,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
In4Pb0.01Sn0.03Se2.9Cl0.06,523,89.1,-233,0.666,0.39,Expt,10.1039/c4dt03432e
Ag0.98Nb0.02BiSe2.0,478,118.52,-164.7,0.666,0.230745111304865,Expt,10.1021/ja312474n
Ag2.0Se0.5Te0.5,390,619.27,-108,0.666,0.422978147027027,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.07Sb1.5Bi0.45Se0.05,700,106.9,-306.3,0.667,1.05255283398801,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag2.0Se0.5Te0.5,360,645.87,-101,0.667,0.355602271844078,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
K0.995Ba0.005GaSb4,509,68.22,-268.37,0.668691538220979,0.374,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Bi1.2Sb0.8Se2.88Cl0.12,600,137,-177,0.67,0.384364746268657,Expt,10.1039/d0ra04065g
AgBiSe2.0,375,83.1,-166,0.67,0.128166246268657,Expt,10.1021/ja312474n
Ce0.2Bi1.8Te3,498,590.28,-154.63,0.67,1.04905949869841,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ag2.0Se0.6Te0.4,300,755,-107,0.67,0.387044552238806,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.0Se0.5Te0.5,375,640,-104,0.67,0.387438805970149,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
